time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count,item_name,is_latest
1660941719,20220819,10190871203,142,68%,445,12535,3,banned,32,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660874153,20220819,10190871203,142,68%,445,12535,3,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660857396,20220818,10190871203,142,68%,445,12535,3,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660851446,20220818,10190871203,142,68%,445,12535,5,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660788090,20220818,10190871203,142,68%,445,12535,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660701879,20220817,10190871203,142,68%,445,12535,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660615050,20220816,10190871203,142,68%,445,12535,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660574510,20220815,10190871203,142,68%,445,12535,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660528630,20220815,10190871203,142,68%,445,12565,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660442077,20220814,10190871203,142,68%,445,12565,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660354829,20220813,10190871203,142,68%,445,12565,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660323899,20220812,10190871203,142,68%,445,12565,4,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660268821,20220812,10190871203,142,68%,445,12565,6,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660239677,20220811,10190871203,142,68%,445,12565,6,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660182188,20220811,10190871203,142,68%,445,12565,7,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660095614,20220810,10190871203,142,68%,445,12565,7,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660034703,20220809,10190871203,142,68%,445,12565,7,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1660010207,20220809,10190871203,142,68%,445,12640,7,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659991311,20220808,10190871203,142,68%,445,12640,7,banned,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659933359,20220808,10190871203,142,68%,445,12640,7,normal,31,83,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659923171,20220808,10190871203,142,68%,445,12640,7,normal,31,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659889408,20220807,10190871203,142,68%,445,12640,7,normal,31,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659837191,20220807,10190871203,142,68%,445,12640,6,normal,31,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659814657,20220806,10190871203,142,68%,445,12640,6,normal,31,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659804784,20220806,10190871203,142,68%,445,12640,6,normal,30,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659750145,20220806,10190871203,142,68%,445,12640,8,normal,30,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659719004,20220805,10190871203,142,68%,445,12640,8,normal,30,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659674845,20220805,10190871203,142,68%,445,12640,9,normal,30,82,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659664225,20220805,10190871203,142,68%,445,12640,9,normal,30,81,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
1659632552,20220804,10190871203,142,68%,445,12640,9,normal,30,81,Luvas De Goleiro De Futebol Adidas Americano Respirável,False
